"674","0.599927204598409+-0.0000198735*DFF_SORT_IDVFX_1+-0.006373709*DFF_SORT_RELVBDN_1+0.02491399*DFF_SORT_SICC3_4+0.2589023*DFF_SORT_SICC3_10+-0.1344199*DFF_SORT_SICC2_1","0.03"
"675","0.462897863062569+1.890908*DFF_SORT_SICC1_9+0.00003867975*DFF_SORT_IDVFX_1+0.02360788*DFF_SORT_RELVBDN_1+-2.817245*DFF_SORT_SICC3_10+-3.287957*DFF_SORT_SICC1_7","0.11"
"677","0.646046089215772+-0.00003066861*DFF_SORT_IDVFX_1+0.6413807*DFF_SORT_SICC2_1+-0.000008316738*DFF_SORT_RELVBDJP_1+0.1211902*DFF_SORT_SICC2_4+0.4262201*DFF_SORT_SICC2_10","0.04"
"678","1.1381074290217+-0.00007036769*DFF_SORT_IDVFX_1+0.0101888*DFF_SORT_SICC3_4+0.8695906*DFF_SORT_SICC3_10+-0.03398214*DFF_SORT_SICC2_1+-0.003717046*DFF_SORT_SICC3_11","0.03"
"679","-12.2830175584868+380.5337*DFF_SORT_SICC2_8+0.001864162*DFF_SORT_IDVFX_1+NA*DFF_SORT_SICC3_7+NA*DFF_SORT_SICC3_1+NA*DFF_SORT_SICC2_10","0.01"
"680","-4.73249683248571+0.001468605*DFF_SORT_IDVFX_1+-24.041*DFF_SORT_SICC3_11+-409.7218*DFF_SORT_SICC2_8+2.121464*DFF_SORT_RELVBDN_1+NA*DFF_SORT_SICC3_4","0"
"681","3.53146623931398+-45.04551*DFF_SORT_SICC1_7+NA*DFF_SORT_SICC3_11+NA*DFF_SORT_SICC1_9+NA*DFF_SORT_SICC3_10+NA*DFF_SORT_SICC3_4","0"
"682","-66.3424096502008+-124.2798*DFF_SORT_RELVBDP_1+-85.9386*DFF_SORT_SICC3_4+-4.968685*DFF_SORT_RELVBDN_1+NA*DFF_SORT_SICC3_7+NA*DFF_SORT_SICC2_10","0.01"
"683","2.31519873844158+-0.0001557509*DFF_SORT_IDVFX_1+-8.12132*DFF_SORT_SICC3_9+-7.067149*DFF_SORT_SICC3_12+33.08198*DFF_SORT_SICC2_8+-3.173756*DFF_SORT_SICC3_1","0.08"
"684","1.16987906577627+-0.00007624416*DFF_SORT_IDVFX_1+-0.01689799*DFF_SORT_SICC3_4+0.9175041*DFF_SORT_SICC3_10+-0.1218784*DFF_SORT_SICC3_11+-0.05790502*DFF_SORT_SICC2_12","0.03"
"685","1.1270544499258+-0.00006524347*DFF_SORT_IDVFX_1+0.04166552*DFF_SORT_SICC3_4+0.1672776*DFF_SORT_SICC3_10+-0.01223965*DFF_SORT_SICC2_1+-0.08686006*DFF_SORT_SICC2_12","0.03"
"686","0.991102766418531+-0.00005933005*DFF_SORT_IDVFX_1+-0.04418505*DFF_SORT_SICC3_4+0.2489551*DFF_SORT_SICC3_10+-0.3000418*DFF_SORT_SICC2_1+0.03135996*DFF_SORT_RELVBDN_1","0.02"
"687","-2.80966085135395+-0.2977803*DFF_SORT_SICC1_9+61.11181*DFF_SORT_SICC2_7+-7.490406*DFF_SORT_SICC1_7+16.70169*DFF_SORT_SICC3_11+NA*DFF_SORT_IDVFX_1","0.01"
"688","-1.24808599137034+47.68936*DFF_SORT_SICC3_9+12.18534*DFF_SORT_RELVBDN_1+-62.82548*DFF_SORT_SICC3_10+-5.35758*DFF_SORT_SICC3_4+-0.001604205*DFF_SORT_IDVFX_1","0"
"689","-35.126798379444+1115.267*DFF_SORT_SICC3_11+-85.72999*DFF_SORT_RELVBDJP_1+-0.004677976*DFF_SORT_IDVFX_1+NA*DFF_SORT_RELVBDP_1+NA*DFF_SORT_SICC1_10","0.01"
"690","-3.70924600623403+26.87821*DFF_SORT_SICC2_9+15.1326*DFF_SORT_SICC1_7+-6.043966*DFF_SORT_SICC3_4+-4.363367*DFF_SORT_RELVBDJP_1+0.08759319*DFF_SORT_SICC3_7","0.01"
"691","-5.13190019861984+5.449034*DFF_SORT_RELVBDN_1+1.652549*DFF_SORT_RELVBDP_1+-29.5076*DFF_SORT_SICC3_10+3.499847*DFF_SORT_SICC2_9+-4.715963*DFF_SORT_RELVBDJP_1","0.21"
"692","1.01387542901193+-0.00006497472*DFF_SORT_IDVFX_1+-0.05263708*DFF_SORT_SICC3_4+0.1714261*DFF_SORT_SICC3_10+0.03763127*DFF_SORT_RELVBDN_1+-0.1857581*DFF_SORT_SICC3_11","0.02"
"693","1.01832513902678+-0.00005616211*DFF_SORT_IDVFX_1+-0.03160376*DFF_SORT_SICC3_4+0.0276767*DFF_SORT_SICC3_10+-0.2554769*DFF_SORT_SICC2_1+-0.02355782*DFF_SORT_RELVBDN_1","0.02"
"653","0.271357020066373+-0.00005373624*DFF_SORT_IDVFX_1+-0.3457761*DFF_SORT_RELVBDP_1+-0.7419604*DFF_SORT_SICC3_11+0.00001576515*DFF_SORT_RELVBDJP_1+0.4712181*DFF_SORT_RELVBDN_1","0.08"
"654","0.66905499785026+-0.00006140145*DFF_SORT_IDVFX_1+0.08557095*DFF_SORT_RELVBDP_1+1.282112*DFF_SORT_SICC2_1+0.3210754*DFF_SORT_RELVBDN_1+0.00001029893*DFF_SORT_RELVBDJP_1","0.08"
"655","1.04089404956604+-0.3923637*DFF_SORT_SICC3_4+-0.00002636797*DFF_SORT_IDVFX_1+-0.4860916*DFF_SORT_SICC2_1+-0.1490718*DFF_SORT_SICC1_10+0.2591906*DFF_SORT_RELVBDN_1","0.06"
"656","0.841407397915782+-0.4423624*DFF_SORT_SICC3_4+-0.008267632*DFF_SORT_SICC1_2+0.3669485*DFF_SORT_RELVBDN_1+-0.4918414*DFF_SORT_SICC2_10+-0.4242767*DFF_SORT_SICC3_11","0.07"
"657","1.06977518331224+-0.4945108*DFF_SORT_SICC3_4+0.5479398*DFF_SORT_SICC3_12+-0.1753705*DFF_SORT_SICC3_1+-0.000007195504*DFF_SORT_IDVFX_1+-0.04575225*DFF_SORT_SICC1_10","0.06"
"658","1.16209235622694+-0.00003147472*DFF_SORT_IDVFX_1+-0.2060885*DFF_SORT_SICC3_4+-0.2758759*DFF_SORT_SICC2_1+-0.6272034*DFF_SORT_SICC3_11+1.237739*DFF_SORT_SICC2_10","0.04"
"660","1.21894951691874+-0.00006736329*DFF_SORT_IDVFX_1+-0.07989122*DFF_SORT_SICC3_4+-0.3795004*DFF_SORT_SICC2_1+-0.7081665*DFF_SORT_SICC3_11+1.10896*DFF_SORT_SICC2_10","0.04"
"662","1.05621655802853+-0.00002545052*DFF_SORT_IDVFX_1+-0.5355807*DFF_SORT_SICC2_4+2.368411*DFF_SORT_SICC1_8+-0.6707555*DFF_SORT_SICC1_7+1.183693*DFF_SORT_SICC2_11","0.02"
"663","1.01788836241061+-0.00003299763*DFF_SORT_IDVFX_1+-0.2492793*DFF_SORT_SICC3_4+0.1689579*DFF_SORT_SICC3_10+-0.261784*DFF_SORT_SICC2_1+0.05091793*DFF_SORT_RELVBDN_1","0.03"
"664","1.01736370581566+-0.00002392205*DFF_SORT_IDVFX_1+-0.322861*DFF_SORT_SICC3_4+0.4298105*DFF_SORT_SICC3_10+-0.138577*DFF_SORT_SICC2_1+-0.4065593*DFF_SORT_SICC3_11","0.03"
"665","1.06563836395938+-0.00003757585*DFF_SORT_IDVFX_1+-0.2793728*DFF_SORT_SICC3_4+-0.1698117*DFF_SORT_SICC2_1+0.8743885*DFF_SORT_SICC3_10+-0.3758075*DFF_SORT_SICC3_11","0.03"
"666","0.997989339649928+-0.00003262193*DFF_SORT_IDVFX_1+-0.1808805*DFF_SORT_SICC3_4+-0.3151673*DFF_SORT_SICC2_1+0.2903133*DFF_SORT_SICC3_10+0.03241764*DFF_SORT_RELVBDN_1","0.02"
"667","0.982126212070494+-0.00002672155*DFF_SORT_IDVFX_1+-0.1379029*DFF_SORT_SICC3_4+-0.3921602*DFF_SORT_SICC1_10+-0.4957268*DFF_SORT_SICC3_1+-0.2102363*DFF_SORT_SICC3_11","0.06"
"668","1.1149529825434+-0.00006277258*DFF_SORT_IDVFX_1+-0.08258122*DFF_SORT_SICC3_4+1.036683*DFF_SORT_SICC3_10+-0.3679373*DFF_SORT_SICC2_1+-0.5668529*DFF_SORT_SICC3_11","0.03"
"669","1.05475038079018+-0.00006352104*DFF_SORT_IDVFX_1+-0.02681032*DFF_SORT_SICC3_4+-0.2645308*DFF_SORT_SICC2_1+0.3072388*DFF_SORT_SICC3_10+0.05735957*DFF_SORT_RELVBDN_1","0.03"
"673","0.612809548421321+-0.00001897844*DFF_SORT_IDVFX_1+-0.08977128*DFF_SORT_SICC2_4+-0.02384809*DFF_SORT_RELVBDN_1+-0.002069049*DFF_SORT_SICC3_9+-0.09038073*DFF_SORT_SICC2_1","0.03"
"674","0.59992720459842+-0.0000198735*DFF_SORT_IDVFX_1+-0.006373709*DFF_SORT_RELVBDN_1+0.02491399*DFF_SORT_SICC3_4+0.2589023*DFF_SORT_SICC3_10+-0.1344199*DFF_SORT_SICC2_1","0.03"
"675","0.462897863062572+1.890908*DFF_SORT_SICC1_9+0.00003867975*DFF_SORT_IDVFX_1+0.02360788*DFF_SORT_RELVBDN_1+-2.817245*DFF_SORT_SICC3_10+-3.287957*DFF_SORT_SICC1_7","0.11"
"677","0.646046089215771+-0.00003066861*DFF_SORT_IDVFX_1+0.6413807*DFF_SORT_SICC2_1+-0.000008316738*DFF_SORT_RELVBDJP_1+0.1211902*DFF_SORT_SICC2_4+0.4262201*DFF_SORT_SICC2_10","0.04"
"678","1.13810742902172+-0.00007036769*DFF_SORT_IDVFX_1+0.0101888*DFF_SORT_SICC3_4+0.8695906*DFF_SORT_SICC3_10+-0.03398214*DFF_SORT_SICC2_1+-0.003717046*DFF_SORT_SICC3_11","0.03"
"679","-12.2830175584868+380.5337*DFF_SORT_SICC2_8+0.001864162*DFF_SORT_IDVFX_1+NA*DFF_SORT_SICC3_7+NA*DFF_SORT_SICC3_1+NA*DFF_SORT_SICC2_10","0.01"
"680","-4.73249683248571+0.001468605*DFF_SORT_IDVFX_1+-24.041*DFF_SORT_SICC3_11+-409.7218*DFF_SORT_SICC2_8+2.121464*DFF_SORT_RELVBDN_1+NA*DFF_SORT_SICC3_4","0"
"681","3.53146623931398+-45.04551*DFF_SORT_SICC1_7+NA*DFF_SORT_SICC3_11+NA*DFF_SORT_SICC1_9+NA*DFF_SORT_SICC3_10+NA*DFF_SORT_SICC3_4","0"
"682","-66.3424096502008+-124.2798*DFF_SORT_RELVBDP_1+-85.9386*DFF_SORT_SICC3_4+-4.968685*DFF_SORT_RELVBDN_1+NA*DFF_SORT_SICC3_7+NA*DFF_SORT_SICC2_10","0.01"
"683","2.31519873844158+-0.0001557509*DFF_SORT_IDVFX_1+-8.12132*DFF_SORT_SICC3_9+-7.067149*DFF_SORT_SICC3_12+33.08198*DFF_SORT_SICC2_8+-3.173756*DFF_SORT_SICC3_1","0.08"
"684","1.16987906577628+-0.00007624416*DFF_SORT_IDVFX_1+-0.01689799*DFF_SORT_SICC3_4+0.9175041*DFF_SORT_SICC3_10+-0.1218784*DFF_SORT_SICC3_11+-0.05790502*DFF_SORT_SICC2_12","0.03"
"685","1.12705444992579+-0.00006524347*DFF_SORT_IDVFX_1+0.04166552*DFF_SORT_SICC3_4+0.1672776*DFF_SORT_SICC3_10+-0.01223965*DFF_SORT_SICC2_1+-0.08686006*DFF_SORT_SICC2_12","0.03"
"686","0.991102766418527+-0.00005933005*DFF_SORT_IDVFX_1+-0.04418505*DFF_SORT_SICC3_4+0.2489551*DFF_SORT_SICC3_10+-0.3000418*DFF_SORT_SICC2_1+0.03135996*DFF_SORT_RELVBDN_1","0.02"
"687","-2.80966085135395+-0.2977803*DFF_SORT_SICC1_9+61.11181*DFF_SORT_SICC2_7+-7.490406*DFF_SORT_SICC1_7+16.70169*DFF_SORT_SICC3_11+NA*DFF_SORT_IDVFX_1","0.01"
"688","-1.24808599137034+47.68936*DFF_SORT_SICC3_9+12.18534*DFF_SORT_RELVBDN_1+-62.82548*DFF_SORT_SICC3_10+-5.35758*DFF_SORT_SICC3_4+-0.001604205*DFF_SORT_IDVFX_1","0"
"689","-35.126798379444+1115.267*DFF_SORT_SICC3_11+-85.72999*DFF_SORT_RELVBDJP_1+-0.004677976*DFF_SORT_IDVFX_1+NA*DFF_SORT_RELVBDP_1+NA*DFF_SORT_SICC1_10","0.01"
"690","-3.70924600623403+26.87821*DFF_SORT_SICC2_9+15.1326*DFF_SORT_SICC1_7+-6.043966*DFF_SORT_SICC3_4+-4.363367*DFF_SORT_RELVBDJP_1+0.08759319*DFF_SORT_SICC3_7","0.01"
"691","-5.13190019861984+5.449034*DFF_SORT_RELVBDN_1+1.652549*DFF_SORT_RELVBDP_1+-29.5076*DFF_SORT_SICC3_10+3.499847*DFF_SORT_SICC2_9+-4.715963*DFF_SORT_RELVBDJP_1","0.21"
"692","1.01387542901193+-0.00006497472*DFF_SORT_IDVFX_1+-0.05263708*DFF_SORT_SICC3_4+0.1714261*DFF_SORT_SICC3_10+0.03763127*DFF_SORT_RELVBDN_1+-0.1857581*DFF_SORT_SICC3_11","0.02"
"693","1.01832513902678+-0.00005616211*DFF_SORT_IDVFX_1+-0.03160376*DFF_SORT_SICC3_4+0.0276767*DFF_SORT_SICC3_10+-0.2554769*DFF_SORT_SICC2_1+-0.02355782*DFF_SORT_RELVBDN_1","0.02"
